Id,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_land,attack_loadmodule,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_perl,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_spy,attack_teardrop,attack_warezclient,attack_warezmaster
root_shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su_attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_file_creations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_access_files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_outbound_cmds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_host_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_guest_login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,-0.099244029,-0.105270504,-0.237213761,,,,-0.10053985,,-0.539761687,-0.071763239,,,,,,,,,,1,0.469490705,0.457553454,0.45208939,0.161054374,0.162989889,-0.628024194,0.222633848,-0.263063328,0.468091121,-0.395978647,-0.473963946,0.167454386,-0.138228297,-0.227775031,0.459044373,0.460806635,0.178324727,0.167706885,-0.04801335,0.412434789,-0.048546284,-0.008854993,-0.014379935,0.093533739,0.014854641,0.064952229,0.088494122,0.022453824,0.071601465,0.073638149,0.074776888,0.074680793,0.075045729,0.062903168,0.063694701,-0.140704997,0.332067334,0.019349689,0.018230525,-0.012659488,-0.018201725,-0.121417671,0.071756695,0.014819844,0.075617508,-0.429115813,0.010454566,0.025247073,0.014819844,0.09108755,0.095138356,0.015288275,0.011785535,0.034584654,0.072724459,0.017335015,0.068719433,0.064910654,0.059350884,0.051785449,0.057667059,0.052975042,0.022442903,0.04314234,-0.025983042,0.087480674,0.002337888,0.030394898,-0.009498212,0.006807396,0.192815829,-0.00547953,0.022655822,0.02024235,0.005049012,-0.169473878,0.033629493,0.042268125,0.058096039,0.065682138,0.069033597,-0.029845583,-0.001666713,-0.005679619,0.06447509,-0.006443431,-0.044219525,0.023850994,0.084555001,0.080889029,0.080996495,0.199031317,0.064742251,0.010327015,-0.083112748,0.461589198,-0.038381435,-0.02166271,-0.01340998,-0.51834328,-0.032903433,-0.010109921,-0.005784013,-0.014795521,-0.006693409,-0.124418294,-0.008218172,-0.006085685,-0.005410427,0.540357543,-0.079023252,-0.576442078,-0.0035419,-0.00408985,-0.027628465,-0.068570196,-0.006458993,0.20265028,0.374258088,-0.002891938,-0.016979132,-0.061012251,-0.009129256
srv_count,-0.050309308,-0.036083284,-0.087530866,,,,-0.049882645,,-0.201053432,-0.034837881,,,,,,,,,,0.469490705,1,-0.149137739,-0.14828251,-0.114355983,-0.11462865,0.191821832,-0.109438439,-0.077424111,0.15131904,0.205498442,0.184340691,-0.107911918,0.158327134,-0.061071994,-0.146792309,-0.145935467,-0.102134413,-0.113713054,-0.136205424,-0.038032599,-0.532516571,0.348374998,-0.00881404,-0.019374757,-0.001481427,-0.024256672,-0.018027128,-0.018139509,-0.016062148,-0.0166192,-0.015701944,-0.01595131,-0.017198609,0.427385182,-0.013694095,-0.018975715,0.642472495,-0.013527869,-0.013554287,-0.03359349,-0.03942054,-0.073195645,-0.014976571,-0.001481427,-0.013987197,-0.150286221,-0.001047523,-0.014158762,-0.001481427,-0.01495993,-0.016176014,-0.012992836,-0.010498945,-0.012865694,-0.014299109,-0.013111798,-0.014117425,-0.014514537,-0.013659755,-0.012452705,-0.012677132,-0.012718221,-0.016682413,-0.011275801,-0.013559044,-0.001762419,-0.002342369,-0.006099773,-0.015487364,-0.00581544,-0.10684075,-0.002474745,-0.006859361,-0.0066452,-0.005677325,-0.089117543,-0.009994236,-0.011089196,-0.012095832,-0.014735118,-0.014157206,-0.040778295,-0.001746047,-0.00292108,-0.017917435,-0.003312676,-0.023990351,-0.018607801,-0.016850567,-0.0163657,-0.017543287,-0.093369931,-0.030087455,-0.01016886,-0.050853388,-0.143675228,-0.018116671,-0.010641105,-0.006003784,0.211410645,-0.015914687,-0.005666145,-0.002948976,-0.007475896,0.009990774,-0.020158656,-0.004314376,-0.003103217,-0.00275664,-0.16163769,-0.015616816,0.00196572,-0.001814377,-0.002075345,-0.01207822,-0.056408818,-0.0033002,-0.047660075,0.698080041,-0.001481427,0.026995778,-0.030984581,-0.004658551
serror_rate,-0.087513658,-0.100188936,-0.20177616,,,,-0.082285603,,-0.49193116,-0.060378215,,,,,,,,,,0.457553454,-0.149137739,1,0.993289221,-0.227538285,-0.227173355,-0.761886639,0.051492334,-0.224024218,0.395582448,-0.55780987,-0.622803796,-0.018194134,-0.275974721,-0.192245648,0.979373016,0.9811389,-0.231811809,-0.22662272,-0.000676733,0.403976499,0.300061466,-0.230314017,-0.013009135,0.092924685,-0.001825026,0.060772874,0.081951803,0.09051686,0.074220391,0.071803118,0.077614934,0.070222877,0.067263011,-0.177183772,0.063079386,-0.123714601,-0.100713967,0.070426957,0.067788958,0.092142444,-0.014303489,-0.060490541,0.065933388,-0.001601903,0.064635678,-0.372955866,-0.001353592,0.068994888,-0.001378781,0.078679261,0.086581691,0.072027321,0.053416924,0.063806054,0.064241045,0.069107025,0.06537483,0.060773995,0.064330115,0.056075649,0.059851705,0.066265592,0.080609604,0.060547615,-0.023285841,-0.101463518,-0.003788802,0.019970984,-0.008155129,0.024819982,0.324700825,-0.005078159,0.019484933,0.020030333,0.023346647,-0.134247814,0.044123236,0.054068516,0.061768802,0.078549422,0.070030223,0.084927151,-0.003109663,-0.005078159,0.065153303,-0.005677599,-0.044155615,0.0866659,0.083190199,0.079335825,0.084696814,-0.18910709,-0.07100299,0.018269081,-0.089166373,0.979174028,0.05804341,0.037465802,0.014391588,-0.758418483,0.073166873,-0.00755306,-0.005078159,-0.011338968,0.00801229,-0.109172309,0.018162211,-0.005386222,-0.004750164,0.855053816,-0.02669733,-0.650650817,-0.003109663,-0.003590744,-0.025473715,-0.086455774,-0.005677599,-0.090872201,-0.093336627,-0.002539019,-0.0398581,-0.053219724,-0.008029657
srv_serror_rate,-0.087146421,-0.099507202,-0.202172229,,,,-0.082354841,,-0.490173117,-0.060296182,,,,,,,,,,0.45208939,-0.14828251,0.993289221,1,-0.22781646,-0.234509376,-0.756783147,0.04498496,-0.225739897,0.393352878,-0.555038293,-0.619136237,-0.028694038,-0.275070821,-0.190333581,0.97759594,0.986251674,-0.235066998,-0.233143948,0.003872225,0.400946165,0.300912112,-0.232270785,-0.011896159,0.093165138,-0.002517979,0.061444962,0.082177459,0.090914772,0.074418362,0.072048982,0.077843453,0.070399484,0.067468367,-0.175738076,0.063310837,-0.122829715,-0.099992485,0.070825003,0.067899529,0.093036184,-0.01378878,-0.060660179,0.066139923,0.001938817,0.064786181,-0.372038621,-0.001780473,0.06921455,0.001938817,0.078647421,0.086788596,0.072420124,0.053841025,0.063971341,0.064849045,0.069137551,0.065589542,0.060979863,0.064493112,0.056236193,0.059959493,0.066467549,0.080816889,0.060658531,-0.023092882,-0.10788301,-0.003981322,0.019964172,-0.007990322,0.025432077,0.322775109,-0.005036079,0.019728594,0.020196611,0.023176244,-0.134961519,0.04425261,0.054265377,0.061888285,0.07916681,0.070188222,0.085625337,-0.003083894,-0.005036079,0.065420937,-0.005630552,-0.043789719,0.086852406,0.083397094,0.079541342,0.08492683,-0.196511849,-0.070593171,0.012844379,-0.088459602,0.982659909,0.052419266,0.024158751,0.0129666,-0.755825751,0.074021472,-0.009753176,-0.005036079,-0.011232837,0.006162475,-0.108372437,0.019188056,-0.005341589,-0.004710801,0.856377617,-0.025722432,-0.648287419,-0.003083894,-0.003560989,-0.025262626,-0.085230638,-0.005630552,-0.098428394,-0.092563191,-0.002517979,-0.053365332,-0.05274531,-0.007963119
rerror_rate,0.173108048,-0.044664331,-0.118673299,,,,-0.035476252,,-0.287517608,-0.020827025,,,,,,,,,,0.161054374,-0.114355983,-0.227538285,-0.22781646,1,0.989007641,-0.209824409,0.267596234,-0.076063968,0.068455404,-0.251078082,-0.257616584,0.376002806,0.032678637,0.015619998,-0.226259858,-0.224987375,0.926748537,0.964448626,-0.11590192,0.323284478,0.17792801,-0.137305273,0.005191258,0.02479062,0.009948395,0.014922761,0.025745045,0.016167233,0.018971712,0.024446554,0.011584734,0.023857947,0.015196401,-0.10410921,0.021324634,-0.072579203,-0.059236671,0.017409046,0.019769633,-0.024553594,-0.0150108,-0.075561529,0.023444749,0.009388826,0.022403823,-0.101921542,0.00703455,0.024637339,0.009326652,0.021589892,0.016946166,0.008790466,0.016210824,0.017292116,0.024797363,0.0114974,0.01880295,0.026640325,0.015673883,0.019523143,0.016334374,0.007093277,0.019447291,0.004002264,-0.013680483,0.116015993,0.00707893,0.017411244,-0.003255363,0.008801654,0.182020629,-0.002983429,0.018994703,0.020556561,0.006788165,-0.082362632,0.019556498,0.013554728,0.015837712,0.012895123,0.016960805,-0.010158109,-0.001826934,-0.002983429,0.017417405,-0.003335602,-0.025941521,0.025344161,0.021580583,0.01984151,0.020165493,0.835067579,0.299638709,0.027712836,0.36981136,-0.224774724,-0.019300256,-0.010159653,-0.005613366,-0.44762912,-0.017382382,-0.00495908,-0.002983429,0.051512795,-0.003498423,-0.000778324,-0.003086674,-0.003164417,-0.002790732,0.103731426,-0.040999245,-0.253395355,-0.001826934,-0.00210957,-0.014965863,0.397795943,-0.003335602,0.216538207,-0.054835474,-0.001491679,-0.031162184,-0.03083906,-0.004717441
